Time,"DO(mg/L)",Latitude,Longitude,B01,B02,B03,B04,B05,B06,B07,B08,B08A,B09,B11,B12
2021/10/19 11:00,8.318604,38.826900 ,116.010000 ,217,188,284,281,214,139,154,141,122,76,52,43
2021/10/24 11:00,9.372707,38.826900 ,116.010000 ,1293,952,1158,1222,980,933,871,819,779,689,308,165
2021/11/25 11:00,7.606495,38.826900 ,116.010000 ,186,221,325,261,183,141,156,152,126,79,138,117
2022/7/8 10:00,7.8416,38.826900 ,116.010000 ,1258,1219,1333,1229,1227,861,805,801,790,1191,1179,1155
2022/7/13 10:00,5.337,38.826900 ,116.010000 ,1294,1251,1330,1320,1268,1139,1171,1132,1160,1271,1201,1150
2022/7/21 11:00,8.1861,38.826900 ,116.010000 ,1234,1228,1449,1255,1237,988,971,938,946,910,1054,1057
2022/7/23 10:00,7.3567,38.826900 ,116.010000 ,1304,1258,1431,1348,1293,1115,1137,1093,1079,1068,1055,1045
2022/8/5 11:00,6.7834,38.826900 ,116.010000 ,1993,1628,1965,1997,1700,1682,1739,1623,1607,1712,1189,1117
2022/8/10 11:00,5.0449,38.826900 ,116.010000 ,1190,1153,1261,1184,1181,1067,1069,1047,1030,973,1034,1022
2022/8/20 11:00,7.895,38.826900 ,116.010000 ,1539,1460,1721,1512,1592,1401,1451,1379,1343,1365,1250,1178
2022/8/25 11:00,4.3248,38.826900 ,116.010000 ,1252,1304,1516,1310,1417,1234,1252,1242,1208,1118,1121,1085
2022/8/27 10:00,4.0114,38.826900 ,116.010000 ,1221,1228,1457,1206,1341,1108,1120,1102,1062,1023,1048,1035
2022/9/1 10:00,4.1452,38.826900 ,116.010000 ,1955,1677,1951,1901,1800,1614,1654,1596,1550,1435,1312,1231
2022/9/4 11:00,11.7836,38.826900 ,116.010000 ,1726,1576,1880,1747,1664,1424,1398,1364,1329,1232,1195,1120
2022/9/6 10:00,6.8064,38.826900 ,116.010000 ,1272,1264,1459,1247,1333,1184,1195,1166,1144,1134,1072,1053
2022/9/11 10:00,8.5616,38.826900 ,116.010000 ,1918,1591,1924,1856,1657,1411,1420,1285,1283,1129,1153,1105
